"Time","Hidden Love","The Untamed","Joy of Life","Story of Yanxi Palace","Till The End Of The Moon","Love Between Fairy and Devil","Who Rules the World","Eternal Love"
"2026-08-29T19:44:00Z",16,3,3,0,4,0,0,0
"2026-08-29T20:00:00Z",15,5,0,0,0,3,0,0
"2026-08-29T20:16:00Z",15,8,4,0,0,4,0,0
"2026-08-29T20:32:00Z",17,4,100,0,0,0,0,0
"2026-08-29T20:48:00Z",17,0,46,0,5,4,0,0
"2026-08-29T21:04:00Z",13,7,18,4,0,0,0,0
"2026-08-29T21:20:00Z",15,5,7,0,0,4,0,0
"2026-08-29T21:36:00Z",15,6,4,0,4,0,0,0
"2026-08-29T21:52:00Z",14,4,4,5,0,5,0,0
"2026-08-29T22:08:00Z",15,6,4,0,0,5,0,0
"2026-08-29T22:24:00Z",14,7,0,6,0,7,0,0
"2026-08-29T22:40:00Z",14,5,0,0,0,0,0,0
"2026-08-29T22:56:00Z",16,0,0,0,0,4,0,0
"2026-08-29T23:12:00Z",13,0,0,0,0,0,0,0
"2026-08-29T23:28:00Z",15,0,7,0,0,0,0,0
"2026-08-29T23:44:00Z",13,5,0,0,0,0,0,0
"2026-08-30T00:00:00Z",11,4,0,0,0,0,0,4
"2026-08-30T00:16:00Z",12,5,0,4,4,4,0,0
"2026-08-30T00:32:00Z",9,5,0,5,0,0,0,0
"2026-08-30T00:48:00Z",14,6,0,0,0,4,0,0
"2026-08-30T01:04:00Z",12,5,0,7,5,5,0,0
"2026-08-30T01:20:00Z",12,7,0,0,4,6,0,0
"2026-08-30T01:36:00Z",13,7,0,0,0,0,0,4
"2026-08-30T01:52:00Z",13,0,5,0,0,0,0,0
"2026-08-30T02:08:00Z",12,4,0,8,0,0,0,0
"2026-08-30T02:24:00Z",11,5,4,4,0,0,4,0
"2026-08-30T02:40:00Z",14,5,4,7,0,5,0,0
"2026-08-30T02:56:00Z",13,5,5,4,0,0,0,0
"2026-08-30T03:12:00Z",10,7,5,4,0,0,0,4
"2026-08-30T03:28:00Z",15,10,0,4,0,5,0,0
"2026-08-30T03:44:00Z",20,8,6,5,0,0,0,0
