"Time","The Untamed","Till The End Of The Moon","Love Between Fairy and Devil","Eternal Love","Ashes of Love","Immortal Samsara","The Starry Love","Ancient Love Poetry"
"2026-08-29T19:44:00Z",32,35,0,0,0,0,0,0
"2026-08-29T20:00:00Z",54,0,34,0,0,0,0,0
"2026-08-29T20:16:00Z",81,0,36,0,0,0,0,0
"2026-08-29T20:32:00Z",43,0,0,0,40,0,0,0
"2026-08-29T20:48:00Z",0,49,38,0,0,0,0,0
"2026-08-29T21:04:00Z",73,0,0,0,0,0,0,0
"2026-08-29T21:20:00Z",45,0,35,0,0,0,0,0
"2026-08-29T21:36:00Z",55,37,0,0,0,0,0,0
"2026-08-29T21:52:00Z",42,0,54,0,0,0,0,0
"2026-08-29T22:08:00Z",64,0,51,0,0,0,0,0
"2026-08-29T22:24:00Z",68,0,68,0,0,0,0,0
"2026-08-29T22:40:00Z",53,0,0,0,0,0,0,0
"2026-08-29T22:56:00Z",0,0,43,0,0,0,0,0
"2026-08-29T23:12:00Z",0,0,0,0,0,0,0,0
"2026-08-29T23:28:00Z",0,0,0,0,53,0,0,0
"2026-08-29T23:44:00Z",54,0,0,0,0,0,0,0
"2026-08-30T00:00:00Z",38,0,0,39,0,0,0,0
"2026-08-30T00:16:00Z",44,38,36,0,0,0,0,0
"2026-08-30T00:32:00Z",46,0,38,0,0,0,0,0
"2026-08-30T00:48:00Z",58,0,38,0,0,0,0,0
"2026-08-30T01:04:00Z",49,51,48,0,0,0,0,0
"2026-08-30T01:20:00Z",67,35,55,0,0,0,0,0
"2026-08-30T01:36:00Z",68,0,0,36,0,0,0,0
"2026-08-30T01:52:00Z",47,0,0,0,0,0,0,0
"2026-08-30T02:08:00Z",38,0,0,40,0,0,0,0
"2026-08-30T02:24:00Z",46,41,0,0,0,0,0,0
"2026-08-30T02:40:00Z",50,0,46,0,0,0,0,0
"2026-08-30T02:56:00Z",54,0,0,0,0,0,0,0
"2026-08-30T03:12:00Z",69,0,0,40,0,0,0,0
"2026-08-30T03:28:00Z",100,0,49,55,0,0,0,0
"2026-08-30T03:44:00Z",79,0,0,0,0,0,0,0
"2026-08-30T04:00:00Z",66,53,0,39,0,0,0,0
"2026-08-30T04:16:00Z",54,42,46,0,0,0,0,0
"2026-08-30T04:32:00Z",60,0,39,0,0,0,0,0
"2026-08-30T04:48:00Z",41,39,0,61,0,0,0,0
"2026-08-30T05:04:00Z",42,0,41,0,0,0,0,0
"2026-08-30T05:20:00Z",89,0,0,39,0,0,0,0
"2026-08-30T05:36:00Z",60,41,37,0,0,0,0,0
"2026-08-30T05:52:00Z",77,0,0,37,0,0,0,0
"2026-08-30T06:08:00Z",76,38,0,0,0,0,0,0
"2026-08-30T06:24:00Z",70,39,0,0,0,0,0,0
